gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
female,no,yes,no,26,no,no phone service,dsl,yes,no,yes,no,no,no,one year,no,credit card,35.4,978.6
male,yes,no,no,2,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,mailed check,74.85,156.4
female,no,yes,no,21,no,no phone service,dsl,yes,no,no,no,no,no,monthly,no,electronic check,28.5,629.35
female,no,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer,20.05,923.1
male,no,yes,yes,21,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.8,350.1
female,no,yes,no,51,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,mailed check,69.15,3649.6
male,yes,yes,no,16,yes,no,dsl,yes,yes,no,no,no,no,monthly,yes,bank transfer,54.55,825.1
female,no,no,no,22,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,no,electronic check,89.25,1907.85
male,no,yes,no,13,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,credit card,102.25,1359.0
female,no,no,yes,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,25.1,1070.15
female,no,no,no,3,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,89.45,240.45
male,yes,no,no,54,yes,yes,fiber optic,no,yes,no,no,no,yes,monthly,yes,electronic check,90.05,4931.8
male,no,no,yes,1,no,no phone service,dsl,no,no,no,no,no,no,monthly,no,mailed check,24.2,24.2
male,no,yes,yes,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,20.55,1403.1
male,no,no,no,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,23.4,1429.65
female,no,no,no,2,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,90.4,168.2
female,yes,yes,yes,62,yes,yes,fiber optic,no,yes,yes,no,no,yes,monthly,yes,credit card,96.1,6019.35
male,yes,no,no,2,yes,no,dsl,no,no,no,no,no,no,monthly,no,mailed check,44.95,85.15
male,no,yes,yes,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,19.9,1356.7
female,no,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,74.5,74.5
male,no,no,no,31,yes,no,dsl,no,no,yes,yes,no,no,monthly,yes,electronic check,55.25,1715.65
male,yes,no,no,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,20.3,1356.3
male,no,yes,no,2,yes,yes,fiber optic,no,no,yes,no,yes,no,monthly,yes,electronic check,91.45,171.45
female,no,no,no,33,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,bank transfer,70.4,2406.1
female,no,yes,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,19.6,55.25
male,no,no,no,44,yes,no,dsl,yes,no,no,yes,yes,no,one year,no,electronic check,65.4,2774.55
male,no,no,no,10,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,monthly,yes,electronic check,110.1,1043.3
female,no,no,no,8,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,75.25,576.7
male,no,no,no,8,yes,no,dsl,no,yes,no,yes,yes,no,monthly,yes,electronic check,66.65,520.95
female,no,yes,yes,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,20.35,1442.65
female,no,no,no,23,yes,yes,fiber optic,no,no,no,no,no,no,monthly,no,bank transfer,75.6,1758.6
male,no,no,no,66,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.1,1697.7
female,no,yes,yes,1,yes,yes,fiber optic,yes,no,yes,no,yes,yes,monthly,yes,electronic check,102.45,102.45
female,no,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.95,58.0
female,no,no,yes,5,yes,no,dsl,no,no,no,yes,no,no,monthly,yes,mailed check,51.0,286.8
female,no,no,yes,1,yes,no,dsl,yes,no,no,no,no,no,monthly,no,mailed check,51.2,51.2
female,no,no,no,9,yes,no,fiber optic,no,no,no,no,yes,no,monthly,yes,bank transfer,77.65,714.15
male,no,yes,yes,36,yes,no,dsl,yes,no,yes,no,no,yes,one year,yes,credit card,63.7,2188.5
male,no,yes,yes,68,yes,yes,fiber optic,yes,yes,no,no,no,no,one year,yes,bank transfer,85.5,5696.6
female,no,yes,yes,35,no,no phone service,dsl,no,no,no,yes,yes,no,one year,no,mailed check,40.9,1383.6
male,no,yes,yes,60,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.55,1205.05
female,no,yes,yes,72,yes,yes,dsl,yes,yes,no,yes,yes,no,two year,no,mailed check,74.55,5430.65
male,no,no,no,45,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,20.4,930.45
male,no,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card,91.2,3247.55
female,no,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,monthly,no,mailed check,50.7,350.35
female,no,no,no,4,yes,no,dsl,no,yes,no,no,no,no,monthly,no,credit card,50.7,151.3
female,no,no,no,1,yes,no,dsl,yes,yes,no,no,no,no,monthly,yes,electronic check,54.9,54.9
female,no,no,no,4,yes,no,dsl,yes,yes,no,yes,no,no,monthly,yes,mailed check,60.4,272.15
male,no,yes,no,18,yes,no,dsl,no,no,yes,no,no,no,monthly,yes,mailed check,49.55,878.35
female,no,no,no,12,yes,yes,dsl,no,no,no,yes,yes,yes,one year,no,mailed check,74.05,872.65
female,no,yes,yes,1,yes,no,fiber optic,no,no,no,no,yes,no,monthly,yes,mailed check,80.05,80.05
male,no,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,25.0,1738.9
male,no,yes,no,42,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,20.25,835.5
male,yes,no,no,24,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,76.1,1712.7
male,no,yes,yes,26,yes,no,fiber optic,no,no,no,no,no,yes,one year,no,bank transfer,78.95,2034.25
female,no,yes,yes,68,yes,yes,dsl,yes,yes,yes,no,yes,no,one year,yes,credit card,73.0,5163.0
female,no,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer,19.9,323.15
male,no,yes,yes,59,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,yes,mailed check,111.1,6555.2
male,no,yes,yes,13,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,credit card,74.4,896.75
female,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,20.45,42.45
female,no,yes,no,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.65,1335.2
female,no,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,20.05,337.9
male,no,yes,no,71,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,yes,mailed check,80.1,5585.4
female,no,yes,yes,17,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,no,bank transfer,98.6,1704.95
male,no,no,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,89.55,89.55
female,no,yes,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.7,94.45
male,no,yes,no,61,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,monthly,yes,electronic check,114.1,7132.15
female,no,no,no,6,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,mailed check,73.85,401.3
female,yes,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,monthly,no,mailed check,25.05,25.05
female,no,yes,yes,21,yes,no,fiber optic,no,yes,yes,yes,yes,yes,monthly,yes,electronic check,102.8,2110.15
female,no,yes,no,60,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,credit card,110.8,6640.7
female,yes,no,no,20,yes,yes,fiber optic,no,no,no,no,no,yes,monthly,yes,credit card,85.8,1727.5
male,no,yes,no,22,yes,yes,fiber optic,yes,no,no,yes,yes,no,monthly,no,credit card,95.9,2234.95
female,no,no,no,40,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,20.6,827.3
male,no,no,no,23,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,74.95,1710.45
female,no,no,yes,1,yes,no,dsl,no,no,no,no,no,no,monthly,no,mailed check,45.95,45.95
male,no,no,no,46,no,no phone service,dsl,yes,no,yes,yes,no,no,two year,no,mailed check,38.25,1755.35
female,no,yes,yes,5,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,credit card,69.95,320.4
male,yes,no,no,68,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,20.0,1396.0
female,yes,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,monthly,yes,electronic check,25.2,25.2
female,no,yes,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,bank transfer,20.1,43.15
female,yes,no,no,14,yes,yes,fiber optic,no,yes,yes,no,yes,yes,monthly,yes,electronic check,104.85,1531.4
male,no,no,no,10,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,70.0,740.0
male,no,no,yes,13,yes,no,fiber optic,no,no,no,no,yes,no,monthly,yes,credit card,78.3,1033.95
female,no,no,no,34,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,monthly,yes,mailed check,109.8,3587.25
male,no,yes,yes,18,yes,no,dsl,no,no,yes,no,no,yes,monthly,no,electronic check,57.45,990.85
male,no,yes,yes,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,19.7,1301.1
female,no,yes,no,70,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,110.5,7752.05
female,no,yes,no,52,yes,no,dsl,yes,no,yes,no,yes,no,one year,yes,mailed check,64.3,3410.6
male,no,yes,yes,68,yes,no,fiber optic,yes,yes,yes,no,yes,yes,two year,yes,bank transfer,105.25,7173.15
male,no,yes,yes,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,electronic check,19.6,717.3
female,no,yes,yes,58,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,24.5,1497.9
male,no,no,no,3,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,no,mailed check,90.7,237.65
male,no,yes,no,14,yes,no,dsl,no,no,no,yes,no,no,monthly,no,bank transfer,48.8,664.4
male,no,no,no,2,no,no phone service,dsl,no,no,no,no,no,no,monthly,yes,credit card,24.9,49.7
female,no,yes,no,1,no,no phone service,dsl,no,no,no,no,no,no,monthly,yes,electronic check,24.8,24.8
female,yes,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,two year,yes,bank transfer,107.4,7748.75
male,no,no,no,3,yes,no,dsl,no,no,no,no,no,no,monthly,yes,electronic check,43.3,123.65
female,no,no,no,13,yes,yes,fiber optic,yes,no,no,no,no,no,monthly,yes,credit card,80.0,1029.35
male,yes,yes,yes,72,yes,no,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,credit card,104.1,7447.7
male,no,yes,no,58,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.75,1185.95
male,yes,yes,no,71,yes,no,fiber optic,no,yes,yes,yes,no,yes,two year,yes,credit card,95.5,6707.15
female,no,no,no,1,yes,no,fiber optic,no,no,yes,no,no,no,monthly,no,electronic check,76.35,76.35
female,no,yes,yes,54,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card,91.3,4965.0
male,no,no,yes,39,no,no phone service,dsl,yes,no,no,yes,yes,no,one year,no,bank transfer,45.05,1790.6
female,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,70.6,70.6
male,no,yes,no,61,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,yes,bank transfer,80.8,4860.85
female,no,yes,yes,25,yes,no,fiber optic,no,yes,yes,no,yes,no,monthly,yes,bank transfer,89.15,2257.75
female,no,no,no,37,yes,yes,fiber optic,yes,yes,yes,no,no,no,monthly,no,bank transfer,91.2,3382.3
female,yes,no,no,26,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,91.25,2351.8
male,no,no,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,credit card,19.75,208.25
female,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.4,20.4
female,yes,yes,no,24,no,no phone service,dsl,no,no,yes,no,no,yes,monthly,yes,credit card,40.65,933.3
male,yes,no,no,65,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,electronic check,110.35,7246.15
male,no,no,no,23,yes,no,dsl,no,no,no,no,yes,yes,one year,yes,bank transfer,64.9,1509.8
male,no,no,no,49,yes,yes,dsl,no,no,no,yes,yes,no,two year,yes,bank transfer,66.15,3199.0
female,yes,no,no,42,yes,yes,dsl,no,no,yes,no,no,no,monthly,no,electronic check,55.65,2421.75
female,no,no,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.85,161.65
female,no,no,no,28,yes,no,dsl,no,yes,no,yes,no,no,monthly,no,bank transfer,54.65,1517.5
male,no,no,no,71,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,no,bank transfer,80.6,5708.2
male,no,yes,yes,69,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,credit card,99.45,7007.6
male,no,yes,yes,68,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,114.7,7849.85
female,no,yes,no,64,yes,yes,fiber optic,no,yes,no,yes,yes,yes,two year,yes,bank transfer,105.4,6794.75
female,yes,no,no,3,yes,no,fiber optic,no,no,yes,no,no,no,monthly,no,mailed check,75.05,202.9
female,no,yes,yes,66,yes,no,dsl,no,no,no,yes,no,no,one year,yes,credit card,49.4,3251.85
male,no,no,no,28,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,18.25,534.7
male,no,yes,no,67,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,111.05,7321.05
male,no,yes,no,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,electronic check,19.6,851.2
male,no,yes,no,55,yes,yes,fiber optic,yes,yes,no,no,yes,no,monthly,yes,electronic check,96.75,5238.9
male,no,no,no,22,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,mailed check,69.7,1490.4
male,no,yes,yes,18,yes,no,fiber optic,yes,no,yes,no,yes,no,monthly,yes,mailed check,87.9,1500.5
male,no,yes,no,46,no,no phone service,dsl,yes,no,yes,yes,no,no,two year,no,credit card,40.4,1842.7
female,no,yes,no,10,yes,yes,fiber optic,yes,no,no,no,no,no,monthly,yes,credit card,78.15,765.15
male,no,yes,no,72,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,electronic check,99.4,7285.7
male,no,no,no,16,yes,yes,dsl,no,yes,no,no,no,no,monthly,no,electronic check,55.3,875.35
male,yes,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,77.0,237.75
male,no,yes,yes,21,no,no phone service,dsl,no,no,no,no,no,no,monthly,yes,electronic check,26.05,565.75
male,no,no,no,5,yes,no,fiber optic,no,no,no,no,no,yes,monthly,no,mailed check,78.75,426.35
female,no,no,no,1,no,no phone service,dsl,no,yes,no,no,no,no,monthly,no,bank transfer,29.95,29.95
female,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,monthly,yes,mailed check,45.4,45.4
male,yes,yes,no,36,yes,yes,fiber optic,no,no,no,no,no,yes,monthly,yes,credit card,85.25,3132.75
male,no,yes,no,64,yes,no,fiber optic,yes,yes,no,yes,yes,yes,two year,yes,credit card,104.05,6605.55
male,yes,yes,no,30,yes,yes,dsl,no,no,yes,no,yes,yes,two year,no,electronic check,74.85,2181.75
female,no,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,19.55,1463.45
male,no,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,20.1,936.85
female,no,yes,no,45,yes,no,fiber optic,no,no,no,yes,yes,yes,two year,yes,credit card,95.2,4285.8
female,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.65,38.7
female,no,no,no,34,yes,no,dsl,yes,yes,no,no,no,no,one year,no,mailed check,55.0,1885.15
female,no,yes,no,54,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,no,bank transfer,106.55,5763.3
male,no,no,no,21,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,19.95,416.4
male,no,yes,no,65,yes,yes,dsl,yes,no,yes,yes,no,yes,two year,no,bank transfer,76.15,4929.55
female,no,yes,no,20,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,bank transfer,69.8,1540.35
male,no,no,no,1,yes,no,fiber optic,no,no,no,no,yes,no,monthly,yes,electronic check,79.5,79.5
male,no,yes,yes,42,yes,yes,dsl,yes,yes,no,no,yes,no,monthly,yes,bank transfer,69.4,3058.3
male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.4,19.4
female,no,yes,no,20,yes,no,fiber optic,yes,yes,no,yes,yes,no,monthly,yes,electronic check,96.55,1901.65
male,no,no,no,11,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,electronic check,70.2,760.05
female,no,yes,no,61,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,25.3,1554.9
female,no,yes,no,64,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,25.0,1584.8
female,yes,yes,no,25,yes,no,fiber optic,no,yes,yes,no,no,yes,monthly,no,bank transfer,88.4,2191.15
female,no,no,no,44,yes,yes,dsl,no,no,no,no,no,no,monthly,yes,mailed check,50.15,2139.1
female,no,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,electronic check,69.95,330.15
female,yes,yes,yes,48,no,no phone service,dsl,no,yes,no,no,no,no,one year,no,bank transfer,29.9,1388.75
male,no,no,no,6,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,74.9,469.8
male,no,yes,no,4,yes,no,dsl,no,no,no,yes,no,no,monthly,no,mailed check,50.05,179.35
male,no,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,19.95,1322.85
male,no,no,no,54,yes,yes,fiber optic,no,no,yes,no,no,yes,monthly,no,credit card,89.4,4869.5
female,no,yes,yes,66,yes,yes,dsl,yes,yes,yes,no,no,no,monthly,yes,bank transfer,67.45,4508.65
male,no,no,no,3,yes,no,dsl,no,yes,no,no,no,no,monthly,yes,mailed check,49.9,130.1
male,no,no,no,19,yes,no,dsl,no,yes,no,yes,no,yes,one year,yes,bank transfer,65.35,1231.85
male,no,yes,yes,61,yes,yes,dsl,no,no,yes,yes,yes,yes,two year,yes,bank transfer,81.0,4976.15
male,no,no,no,54,yes,no,fiber optic,yes,no,yes,no,yes,no,monthly,no,mailed check,89.8,4667.0
female,no,no,no,1,yes,no,dsl,no,yes,no,no,no,no,monthly,no,electronic check,49.95,49.95
male,yes,no,no,19,yes,yes,fiber optic,no,no,yes,no,no,no,monthly,yes,electronic check,79.85,1471.75
male,no,yes,no,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.75,483.15
female,yes,no,yes,33,yes,yes,fiber optic,no,yes,yes,no,yes,yes,monthly,yes,bank transfer,105.35,3465.05
female,no,yes,no,31,yes,no,fiber optic,no,yes,no,no,no,yes,monthly,yes,bank transfer,83.85,2674.15
male,no,yes,no,59,no,no phone service,dsl,no,no,no,no,yes,yes,monthly,yes,electronic check,44.3,2666.75
female,yes,yes,no,20,yes,no,fiber optic,no,no,no,no,yes,yes,one year,yes,bank transfer,91.0,1859.5
male,yes,yes,no,60,yes,yes,fiber optic,no,no,no,yes,yes,yes,monthly,yes,electronic check,99.0,6017.9
male,no,no,yes,18,yes,yes,fiber optic,no,no,yes,no,no,no,monthly,yes,credit card,80.55,1406.65
female,no,no,yes,19,yes,no,dsl,yes,yes,yes,no,no,no,monthly,yes,electronic check,60.6,1297.8
female,no,yes,yes,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.7,452.55
female,no,yes,yes,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.25,172.35
female,no,yes,yes,33,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,bank transfer,24.25,838.5
female,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.4,61.05
male,no,yes,no,67,yes,yes,fiber optic,no,yes,yes,no,no,yes,two year,yes,electronic check,93.15,6368.2
female,no,no,no,52,yes,no,dsl,yes,no,no,no,no,no,monthly,yes,bank transfer,49.75,2535.55
female,no,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,credit card,19.65,92.05
female,no,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,19.4,19.4
male,no,no,no,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.8,1311.3
female,no,no,no,63,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer,99.9,6137.0
male,yes,no,no,2,yes,no,dsl,no,no,yes,no,no,no,monthly,no,mailed check,49.95,107.1
male,yes,yes,no,25,yes,yes,fiber optic,yes,no,no,no,no,yes,one year,yes,electronic check,89.05,2177.45
male,no,no,no,19,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.95,373.5
male,no,no,yes,62,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer,56.15,3487.95
male,yes,no,no,23,no,no phone service,dsl,no,no,no,no,no,yes,monthly,yes,bank transfer,34.65,768.45
male,no,yes,no,70,yes,no,dsl,yes,yes,yes,yes,no,no,two year,no,credit card,64.95,4523.25
male,no,no,no,29,yes,no,fiber optic,no,no,no,yes,yes,yes,monthly,yes,electronic check,94.2,2607.6
male,no,yes,no,32,yes,yes,fiber optic,no,no,yes,no,no,no,monthly,yes,electronic check,78.9,2447.95
female,no,no,no,31,yes,yes,dsl,yes,no,yes,yes,no,no,monthly,no,credit card,65.25,1994.3
female,no,no,no,59,yes,no,fiber optic,no,no,yes,no,yes,yes,two year,no,electronic check,95.8,5655.45
male,no,no,no,32,yes,no,dsl,no,no,no,no,yes,yes,one year,yes,bank transfer,64.85,2010.95
male,no,yes,no,17,no,no phone service,dsl,no,yes,no,no,yes,yes,monthly,yes,mailed check,49.8,836.35
male,no,no,no,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.9,518.3
male,no,no,no,12,yes,yes,fiber optic,no,no,no,no,yes,yes,monthly,no,electronic check,94.55,1173.55
male,no,yes,yes,61,yes,no,fiber optic,no,yes,no,yes,yes,yes,one year,yes,bank transfer,98.45,6145.2
female,no,yes,no,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.6,1416.5
female,no,no,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,credit card,20.45,147.55
male,yes,yes,no,24,yes,yes,fiber optic,no,yes,yes,no,yes,yes,monthly,yes,electronic check,104.25,2433.9
female,yes,no,no,7,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,89.15,574.35
male,no,no,yes,41,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,111.15,4507.15
male,no,yes,yes,20,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,90.2,1776.55
male,no,yes,no,33,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,no,electronic check,91.25,2964.05
male,no,no,no,56,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,yes,credit card,81.8,4534.45
